source_verdict,cite_verdict,link,download_status
"ת""פ 41522-05-18.csv",9373/10,http://www.nevo.co.il/case/6151556,Downloaded
"תפ""ח 33226-10-18.csv",5373/12,http://www.nevo.co.il/case/5571029,Downloaded
"ת""פ 54308-12-18.csv",3877/16,http://www.nevo.co.il/case/21474168,Downloaded
"ת""פ 53615-01-19.csv",3877/16,http://www.nevo.co.il/case/21474168,Downloaded
"ת""פ 23872-02-19.csv",3156/11,http://www.nevo.co.il/case/5878682,Downloaded
"ת""פ 1316-04-19.csv",4154/16,http://www.nevo.co.il/case/21474520,Downloaded
"ת""פ 11104-07-19.csv",4945/13,http://www.nevo.co.il/case/7791493,Downloaded
"ת""פ 7735-04-19.csv",9373/10,http://www.nevo.co.il/case/6151556,Downloaded
"ת""פ 52390-06-19.csv",135/17,http://www.nevo.co.il/case/22006503,Downloaded
"ת""פ 4411-07-19.csv",448/15,http://www.nevo.co.il/case/20000662,Downloaded
"ת""פ 54607-07-19.csv",5968/19,http://www.nevo.co.il/case/26032623,Downloaded
"ת""פ 1203-08-19.csv",4530/19,http://www.nevo.co.il/case/25836997,Downloaded
"ת""פ 5578-08-19.csv",8845/15,http://www.nevo.co.il/case/20817889,Downloaded
"ת""פ 58524-11-19.csv",8045/17,http://www.nevo.co.il/case/23750625,Downloaded
"ת""פ 40898-11-19.csv",8730/18,http://www.nevo.co.il/case/25217995,Downloaded
"ת""פ 15772-11-19.csv",1509/20,http://www.nevo.co.il/case/26492590,Downloaded
"ת""פ 9355-10-19.csv",4530/19,http://www.nevo.co.il/case/25836997,Downloaded
"ת""פ 4664-01-20.csv",8207/19,http://www.nevo.co.il/case/26263927,Downloaded
"ת""פ 62688-01-20.csv",780/16,http://www.nevo.co.il/case/21472824,Downloaded
"ת""פ 58505-11-19.csv",2802/18,http://www.nevo.co.il/case/23850962,Downloaded
"ת""פ 20477-02-20.csv",5643/14,http://www.nevo.co.il/case/17954235,Downloaded
"ת""פ 66430-05-20.csv",135/17,http://www.nevo.co.il/case/22006503,Downloaded
"ת""פ 44381-05-20.csv",3156/11,http://www.nevo.co.il/case/5878682,Downloaded
"ת""פ 16370-02-20.csv",1509/20,http://www.nevo.co.il/case/26492590,Downloaded
"ת""פ 15744-02-20.csv",390/17,http://www.nevo.co.il/case/22137915,Downloaded
"ת""פ 20425-02-20.csv",1768/14,http://www.nevo.co.il/case/13023134,Downloaded
"ת""פ 59369-03-18.csv",2826/19,http://www.nevo.co.il/case/25637368,Downloaded
"ת""פ 21029-10-19.csv",2822/12,http://www.nevo.co.il/case/5580781,Downloaded
"ת""פ 24000-05-20.csv",5004/17,http://www.nevo.co.il/case/22791136,Downloaded
