verdict_1,verdict_2,Similarity
"ת""פ 11608-07-16","ת""פ 47987-12-22",1
"ת""פ 63255-11-16","ת""פ 73652-01-18",1
"ת""פ 26620-12-16","ת""פ 6788-06-16",1
"ת""פ 59971-01-17","ת""פ 16958-01-14",3
"ת""פ 620-01-17","ת""פ 19902-12-16",3
"ת""פ 30876-03-17","ת""פ 41988-02-23",1
"ת""פ 30876-03-17","ת""פ 59971-01-17",3
"ת""פ 17677-04-17","ת""פ 16958-01-14",3
"ת""פ 5680-02-18","ת""פ 7867-04-22",1
"ת""פ 5680-02-18","ת""פ 31122-11-15",2
"ת""פ 16826-04-18","ת""פ 19902-12-16",3
"ת""פ 46786-04-18","ת""פ 6788-06-16",1
"ת""פ 46786-04-18","ת""פ 26620-12-16",1
"ת""פ 58591-08-18","ת""פ 6788-06-16",1
"ת""פ 68942-01-19","ת""פ 6788-06-16",1
"ת""פ 68958-01-19","ת""פ 6788-06-16",1
"ת""פ 45480-02-19","ת""פ 30876-03-17",3
"ת""פ 45480-02-19","ת""פ 17677-04-17",3
"ת""פ 45480-02-19","ת""פ 14578-04-19",3
"ת""פ 14488-04-19","ת""פ 14578-04-19",3
"ת""פ 14488-04-19","ת""פ 10139-03-21",1
"ת""פ 14488-04-19","ת""פ 16958-01-14",3
"ת""פ 14578-04-19","ת""פ 30876-03-17",3
"ת""פ 14578-04-19","ת""פ 17677-04-17",3
"ת""פ 4435-07-19","ת""פ 16958-01-14",3
"ת""פ 4435-07-19","ת""פ 14488-04-19",3
"ת""פ 10139-03-21","ת""פ 24514-09-15",1
"ת""פ 10139-03-21","ת""פ 6788-06-16",2
"ת""פ 10139-03-21","ת""פ 11608-07-16",1
"ת""פ 10139-03-21","ת""פ 73652-01-18",3
"ת""פ 42162-12-21","ת""פ 14488-04-19",1
"ת""פ 47042-01-22","ת""פ 64418-09-16",1
"ת""פ 53625-07-22","ת""פ 14578-04-19",3
"ת""פ 15747-08-22","ת""פ 26620-12-16",1
"ת""פ 1990-11-22","ת""פ 14578-04-19",1
"ת""פ 1990-11-22","ת""פ 9804-01-24",1
"ת""פ 46786-01-23","ת""פ 17677-04-17",1
"ת""פ 8444-04-23","ת""פ 4435-07-19",1
"ת""פ 13598-05-23","ת""פ 14553-12-23",3
"ת""פ 52567-05-23","ת""פ 7867-04-22",3
"ת""פ 14553-12-23","ת""פ 16826-04-18",1
"ת""פ 64418-09-16","ת""פ 18218-11-19",1
"ת""פ 58269-02-19","ת""פ 17677-04-17",1
"ת""פ 58269-02-19","ת""פ 1276-05-15",1
"ת""פ 28746-05-20","ת""פ 9851-11-21",1
"ת""פ 12380-06-20","ת""פ 68942-01-19",1
"ת""פ 12380-06-20","ת""פ 13598-05-23",1
"ת""פ 40908-02-21","ת""פ 32175-07-22",1
"תפ""ק 7171-03-21","ת""פ 46786-01-23",1
"תפ""ק 7171-03-21","ת""פ 18218-11-19",1
"ת""פ 16014-01-22","ת""פ 19902-12-16",1
"ת""פ 16014-01-22","ת""פ 67342-07-18",1
"ת""פ 36033-05-22","ת""פ 39259-05-22",3
"ת""פ 39259-05-22","ת""פ 6788-06-16",1
"ת""פ 39259-05-22","תפ""ק 7171-03-21",1
"ת""פ 61816-07-23","ת""פ 26596-01-24",1
"ת""פ 35299-09-23","ת""פ 54208-06-22",1
"ת""פ 3818-01-24","ת""פ 16958-01-14",3
"ת""פ 3818-01-24","ת""פ 17677-04-17",3
"ת""פ 9804-01-24","ת""פ 68958-01-19",1
"ת""פ 28565-05-24","ת""פ 24514-09-15",1
"ת""פ 16958-01-14","ת""פ 3818-01-24",3
"ת""פ 620-01-17","ת""פ 18588-11-10",3
"ת""פ 5680-02-18","ת""פ 29504-09-13",1
"ת""פ 58591-08-18","ת""פ 11608-07-16",2
"ת""פ 8864-08-18","ת""פ 16759-07-17",3
"ת""פ 1338-12-20","ת""פ 47987-12-22",3
"ת""פ 42162-12-21","ת""פ 30876-03-17",1
"ת""פ 42162-12-21","ת""פ 29504-09-13",1
"ת""פ 42162-12-21","ת""פ 58269-02-19",2
"ת""פ 42162-12-21","ת""פ 42879-09-21",1
"ת""פ 42162-12-21","ת""פ 59578-12-21",2
"ת""פ 47042-01-22","ת""פ 73652-01-18",3
"ת""פ 53625-07-22","ת""פ 47987-12-22",1
"ת""פ 15747-08-22","ת""פ 41833-08-23",3
"ת""פ 1990-11-22","ת""פ 11608-07-16",3
"ת""פ 1990-11-22","ת""פ 46786-04-18",3
"ת""פ 52567-05-23","ת""פ 30876-03-17",3
"ת""פ 41833-08-23","ת""פ 47987-12-22",3
"ת""פ 14553-12-23","ת""פ 30876-03-17",3
"ת""פ 64418-09-16","ת""פ 16759-07-17",2
"ת""פ 58269-02-19","ת""פ 63255-11-16",1
"ת""פ 58269-02-19","ת""פ 42162-12-21",1
"ת""פ 58269-02-19","ת""פ 14553-12-23",2
"ת""פ 50607-03-19","ת""פ 63255-11-16",4
"ת""פ 42879-09-21","ת""פ 8864-08-18",1
"ת""פ 42879-09-21","ת""פ 42162-12-21",1
"ת""פ 42879-09-21","ת""פ 53625-07-22",1
"ת""פ 42879-09-21","ת""פ 14553-12-23",1
"ת""פ 42879-09-21","ת""פ 64418-09-16",1
"ת""פ 42879-09-21","ת""פ 58269-02-19",2
"ת""פ 42879-09-21","ת""פ 50607-03-19",3
"ת""פ 42879-09-21","ת""פ 26596-01-24",2
"ת""פ 42879-09-21","ת""פ 9804-01-24",1
"ת""פ 36033-05-22","ת""פ 64418-09-16",2
"ת""פ 26596-01-24","ת""פ 42162-12-21",1
"ת""פ 26596-01-24","ת""פ 53625-07-22",2
"ת""פ 26596-01-24","ת""פ 29504-09-13",1
"ת""פ 26596-01-24","ת""פ 58269-02-19",3
"ת""פ 26596-01-24","ת""פ 59578-12-21",2
"ת""פ 26596-01-24","ת""פ 9804-01-24",1
"ת""פ 9804-01-24","ת""פ 11608-07-16",1
"ת""פ 9804-01-24","ת""פ 42162-12-21",2
"ת""פ 9804-01-24","ת""פ 14553-12-23",2
"ת""פ 9804-01-24","ת""פ 42879-09-21",1
"ת""פ 9804-01-24","ת""פ 35299-09-23",1
"ת""פ 28565-05-24","ת""פ 59578-12-21",2
"ת""פ 46424-05-24","ת""פ 35299-09-23",3
