paragraph_number,paragraph_text,citation,part,predicted_label
80,"25.	בפתח הדברים יצוין, כי העבירות בהן הורשע הנאשם מקימות אירוע עברייני אחד, מאחר ויש ביניהן קשר ענייני הדוק והן חלק ממסכת עבריינית אחת. העבירות בנשק וההפרעה לשוטר נעשו בסמיכות זמנים ומקום. בנוסף, העבירה האחרונה עניינה למעשה הימלטות הנאשם מפני המשטרה בעקבות ביצוע עבירות הנשק (לעניין סיווג מעשים עברייניים שונים לאירוע אחד או אירועים נפרדים ראו ע""פ 5668/13‏  ערן מזרחי נ' מדינת ישראל (17.6.2016); ע""פ 1261/15 ‏מדינת ישראל נ' יוסף דלאל (3.9.2015)).","ע""פ 5668/13",קביעת מתחם הענישה ההולם,0
80,"25.	בפתח הדברים יצוין, כי העבירות בהן הורשע הנאשם מקימות אירוע עברייני אחד, מאחר ויש ביניהן קשר ענייני הדוק והן חלק ממסכת עבריינית אחת. העבירות בנשק וההפרעה לשוטר נעשו בסמיכות זמנים ומקום. בנוסף, העבירה האחרונה עניינה למעשה הימלטות הנאשם מפני המשטרה בעקבות ביצוע עבירות הנשק (לעניין סיווג מעשים עברייניים שונים לאירוע אחד או אירועים נפרדים ראו ע""פ 5668/13‏  ערן מזרחי נ' מדינת ישראל (17.6.2016); ע""פ 1261/15 ‏מדינת ישראל נ' יוסף דלאל (3.9.2015)).","ע""פ 1261/15",קביעת מתחם הענישה ההולם,0
84,"27.	העבירות שעניינן החזקה ונשיאה של נשק בלתי חוקי הן חמורות, שכן הן פוגעות בערך המוגן הבסיסי ביותר של שמירת חיי אדם, ביטחונו ושלומו. בית המשפט העליון עמד לא אחת על כך שעבירות בנשק הפכו זה מכבר למכת מדינה של ממש, שיש צורך להתייחס אליה בחומרה, זאת מן הטעם שהן מקימות פוטנציאל להסלמה עבריינית, ויוצרות סיכון ממשי לשלום הציבור וביטחונו, הוא הערך החברתי המוגן העומד בבסיס עבירות אלה (ראו: ע""פ 9373/10 חמד וותד נ' מדינת ישראל (14.9.2011); ע""פ 2251/11 וע""פ 2368/11 מדינת ישראל נ' ג'מאל נפאע (4.12.2011); ע""פ 3156/11 זראיעה נ' מדינת ישראל (21.02.2012); ע""פ 2918/13 דבס נ' מדינת ישראל (18.7.2013); ע""פ 5913/11 תאר הייב נ' מדינת ישראל (12.9.2012); ע""פ 5900/15 אייל מעוז נ' מדינת ישראל (10.5.2016); ע""פ 8959/14 דניאל בן סימון נ' מדינת ישראל (24.6.2015).","ע""פ 9373/10",קביעת מתחם הענישה ההולם,0
84,"27.	העבירות שעניינן החזקה ונשיאה של נשק בלתי חוקי הן חמורות, שכן הן פוגעות בערך המוגן הבסיסי ביותר של שמירת חיי אדם, ביטחונו ושלומו. בית המשפט העליון עמד לא אחת על כך שעבירות בנשק הפכו זה מכבר למכת מדינה של ממש, שיש צורך להתייחס אליה בחומרה, זאת מן הטעם שהן מקימות פוטנציאל להסלמה עבריינית, ויוצרות סיכון ממשי לשלום הציבור וביטחונו, הוא הערך החברתי המוגן העומד בבסיס עבירות אלה (ראו: ע""פ 9373/10 חמד וותד נ' מדינת ישראל (14.9.2011); ע""פ 2251/11 וע""פ 2368/11 מדינת ישראל נ' ג'מאל נפאע (4.12.2011); ע""פ 3156/11 זראיעה נ' מדינת ישראל (21.02.2012); ע""פ 2918/13 דבס נ' מדינת ישראל (18.7.2013); ע""פ 5913/11 תאר הייב נ' מדינת ישראל (12.9.2012); ע""פ 5900/15 אייל מעוז נ' מדינת ישראל (10.5.2016); ע""פ 8959/14 דניאל בן סימון נ' מדינת ישראל (24.6.2015).","ע""פ 2251/11",קביעת מתחם הענישה ההולם,0
84,"27.	העבירות שעניינן החזקה ונשיאה של נשק בלתי חוקי הן חמורות, שכן הן פוגעות בערך המוגן הבסיסי ביותר של שמירת חיי אדם, ביטחונו ושלומו. בית המשפט העליון עמד לא אחת על כך שעבירות בנשק הפכו זה מכבר למכת מדינה של ממש, שיש צורך להתייחס אליה בחומרה, זאת מן הטעם שהן מקימות פוטנציאל להסלמה עבריינית, ויוצרות סיכון ממשי לשלום הציבור וביטחונו, הוא הערך החברתי המוגן העומד בבסיס עבירות אלה (ראו: ע""פ 9373/10 חמד וותד נ' מדינת ישראל (14.9.2011); ע""פ 2251/11 וע""פ 2368/11 מדינת ישראל נ' ג'מאל נפאע (4.12.2011); ע""פ 3156/11 זראיעה נ' מדינת ישראל (21.02.2012); ע""פ 2918/13 דבס נ' מדינת ישראל (18.7.2013); ע""פ 5913/11 תאר הייב נ' מדינת ישראל (12.9.2012); ע""פ 5900/15 אייל מעוז נ' מדינת ישראל (10.5.2016); ע""פ 8959/14 דניאל בן סימון נ' מדינת ישראל (24.6.2015).","ע""פ 2368/11",קביעת מתחם הענישה ההולם,0
84,"27.	העבירות שעניינן החזקה ונשיאה של נשק בלתי חוקי הן חמורות, שכן הן פוגעות בערך המוגן הבסיסי ביותר של שמירת חיי אדם, ביטחונו ושלומו. בית המשפט העליון עמד לא אחת על כך שעבירות בנשק הפכו זה מכבר למכת מדינה של ממש, שיש צורך להתייחס אליה בחומרה, זאת מן הטעם שהן מקימות פוטנציאל להסלמה עבריינית, ויוצרות סיכון ממשי לשלום הציבור וביטחונו, הוא הערך החברתי המוגן העומד בבסיס עבירות אלה (ראו: ע""פ 9373/10 חמד וותד נ' מדינת ישראל (14.9.2011); ע""פ 2251/11 וע""פ 2368/11 מדינת ישראל נ' ג'מאל נפאע (4.12.2011); ע""פ 3156/11 זראיעה נ' מדינת ישראל (21.02.2012); ע""פ 2918/13 דבס נ' מדינת ישראל (18.7.2013); ע""פ 5913/11 תאר הייב נ' מדינת ישראל (12.9.2012); ע""פ 5900/15 אייל מעוז נ' מדינת ישראל (10.5.2016); ע""פ 8959/14 דניאל בן סימון נ' מדינת ישראל (24.6.2015).","ע""פ 3156/11",קביעת מתחם הענישה ההולם,0
84,"27.	העבירות שעניינן החזקה ונשיאה של נשק בלתי חוקי הן חמורות, שכן הן פוגעות בערך המוגן הבסיסי ביותר של שמירת חיי אדם, ביטחונו ושלומו. בית המשפט העליון עמד לא אחת על כך שעבירות בנשק הפכו זה מכבר למכת מדינה של ממש, שיש צורך להתייחס אליה בחומרה, זאת מן הטעם שהן מקימות פוטנציאל להסלמה עבריינית, ויוצרות סיכון ממשי לשלום הציבור וביטחונו, הוא הערך החברתי המוגן העומד בבסיס עבירות אלה (ראו: ע""פ 9373/10 חמד וותד נ' מדינת ישראל (14.9.2011); ע""פ 2251/11 וע""פ 2368/11 מדינת ישראל נ' ג'מאל נפאע (4.12.2011); ע""פ 3156/11 זראיעה נ' מדינת ישראל (21.02.2012); ע""פ 2918/13 דבס נ' מדינת ישראל (18.7.2013); ע""פ 5913/11 תאר הייב נ' מדינת ישראל (12.9.2012); ע""פ 5900/15 אייל מעוז נ' מדינת ישראל (10.5.2016); ע""פ 8959/14 דניאל בן סימון נ' מדינת ישראל (24.6.2015).","ע""פ 2918/13",קביעת מתחם הענישה ההולם,0
84,"27.	העבירות שעניינן החזקה ונשיאה של נשק בלתי חוקי הן חמורות, שכן הן פוגעות בערך המוגן הבסיסי ביותר של שמירת חיי אדם, ביטחונו ושלומו. בית המשפט העליון עמד לא אחת על כך שעבירות בנשק הפכו זה מכבר למכת מדינה של ממש, שיש צורך להתייחס אליה בחומרה, זאת מן הטעם שהן מקימות פוטנציאל להסלמה עבריינית, ויוצרות סיכון ממשי לשלום הציבור וביטחונו, הוא הערך החברתי המוגן העומד בבסיס עבירות אלה (ראו: ע""פ 9373/10 חמד וותד נ' מדינת ישראל (14.9.2011); ע""פ 2251/11 וע""פ 2368/11 מדינת ישראל נ' ג'מאל נפאע (4.12.2011); ע""פ 3156/11 זראיעה נ' מדינת ישראל (21.02.2012); ע""פ 2918/13 דבס נ' מדינת ישראל (18.7.2013); ע""פ 5913/11 תאר הייב נ' מדינת ישראל (12.9.2012); ע""פ 5900/15 אייל מעוז נ' מדינת ישראל (10.5.2016); ע""פ 8959/14 דניאל בן סימון נ' מדינת ישראל (24.6.2015).","ע""פ 5913/11",קביעת מתחם הענישה ההולם,0
84,"27.	העבירות שעניינן החזקה ונשיאה של נשק בלתי חוקי הן חמורות, שכן הן פוגעות בערך המוגן הבסיסי ביותר של שמירת חיי אדם, ביטחונו ושלומו. בית המשפט העליון עמד לא אחת על כך שעבירות בנשק הפכו זה מכבר למכת מדינה של ממש, שיש צורך להתייחס אליה בחומרה, זאת מן הטעם שהן מקימות פוטנציאל להסלמה עבריינית, ויוצרות סיכון ממשי לשלום הציבור וביטחונו, הוא הערך החברתי המוגן העומד בבסיס עבירות אלה (ראו: ע""פ 9373/10 חמד וותד נ' מדינת ישראל (14.9.2011); ע""פ 2251/11 וע""פ 2368/11 מדינת ישראל נ' ג'מאל נפאע (4.12.2011); ע""פ 3156/11 זראיעה נ' מדינת ישראל (21.02.2012); ע""פ 2918/13 דבס נ' מדינת ישראל (18.7.2013); ע""פ 5913/11 תאר הייב נ' מדינת ישראל (12.9.2012); ע""פ 5900/15 אייל מעוז נ' מדינת ישראל (10.5.2016); ע""פ 8959/14 דניאל בן סימון נ' מדינת ישראל (24.6.2015).","ע""פ 5900/15",קביעת מתחם הענישה ההולם,0
84,"27.	העבירות שעניינן החזקה ונשיאה של נשק בלתי חוקי הן חמורות, שכן הן פוגעות בערך המוגן הבסיסי ביותר של שמירת חיי אדם, ביטחונו ושלומו. בית המשפט העליון עמד לא אחת על כך שעבירות בנשק הפכו זה מכבר למכת מדינה של ממש, שיש צורך להתייחס אליה בחומרה, זאת מן הטעם שהן מקימות פוטנציאל להסלמה עבריינית, ויוצרות סיכון ממשי לשלום הציבור וביטחונו, הוא הערך החברתי המוגן העומד בבסיס עבירות אלה (ראו: ע""פ 9373/10 חמד וותד נ' מדינת ישראל (14.9.2011); ע""פ 2251/11 וע""פ 2368/11 מדינת ישראל נ' ג'מאל נפאע (4.12.2011); ע""פ 3156/11 זראיעה נ' מדינת ישראל (21.02.2012); ע""פ 2918/13 דבס נ' מדינת ישראל (18.7.2013); ע""פ 5913/11 תאר הייב נ' מדינת ישראל (12.9.2012); ע""פ 5900/15 אייל מעוז נ' מדינת ישראל (10.5.2016); ע""פ 8959/14 דניאל בן סימון נ' מדינת ישראל (24.6.2015).","ע""פ 8959/14",קביעת מתחם הענישה ההולם,0
86,"28. 	המגמה ההולכת וגוברת בפסיקת בתי המשפט הינה מגמה של החמרה כלפי אלה המהינים לבצע עבירות של החזקת נשק ונשיאתו. יפים לעניין זה דברי בית המשפט בע""פ 9702/16‏  סאמי אבו אלוליאיה נ' מדינת ישראל (13.9.2017):","ע""פ 9702/16",קביעת מתחם הענישה ההולם,0
90,"כן ראו דברי בית המשפט בע""פ 135/17 מדינת ישראל נ' סמיר בסל (8.3.2017):","ע""פ 135/17",קביעת מתחם הענישה ההולם,0
93,"29.	בע""פ 1332/04  פס נ' מדינת ישראל, פ""ד נח(5) 541 נקבע כי בין השיקולים לעניין נסיבות העבירה, יש להתחשב גם בסוג הנשק המוחזק:","ע""פ 1332/04",קביעת מתחם הענישה ההולם,0
