file name,judge
תפ_47344-10-15.docx,דניאל פיש
תפ_22966-11-15.docx,רונית בש
תפ_45446-11-15.docx,אבי לוי
תפ_46896-11-15.docx,תמר שרון נתנאל
תפ_53457-11-15.docx,אליהו ביתן
תפ_55383-11-15.docx,דנה מרשק מרום
תפ_56230-11-15.docx,אבי לוי
תפ_13882-12-15.docx,עמית צבי גורפינקל
תפ_18308-12-15.docx,ג'ורג' קרא
תפ_33866-12-15.docx,עמית כהן
תפ_189-01-16.docx,רות לורך
תפ_37551-01-16.docx,אבי לוי
תפ_44404-01-16.docx,דניאל טפרברג
תפ_55992-01-16.docx,אמיר טובי
תפ_2259-02-16.docx,אהרון משניות
תפ_6916-02-16.docx,גיליה רביד
תפ_9109-02-16.docx,אמיר טובי
תפ_16273-02-16.docx,מרדכי לוי
תפ_31164-02-16.docx,ירון לוי
תפ_39924-02-16.docx,דוד רוזן
תפ_46325-02-16.docx,דוד רוזן
תפ_9736-03-16.docx,צבי גורפינקל
תפ_10234-03-16.docx,צבי גורפינקל
תפ_10283-03-16.docx,ירון לוי
תפ_21059-03-16.docx,דנה מרשק מרום
תפ_50082-03-16.docx,אברהם אליקים
תפ_52982-03-16.docx,אבי לוי
תפ_1870-04-16.docx,אברהם רובין
תפ_6322-04-16.docx,בני שגיא
תפ_24253-04-16.docx,אליהו ביתן
תפ_26792-04-16.docx,דניאל פיש
תפ_17780-09-16.docx,מיכל ברק נבו
תפ_37468-09-16.docx,יחיאל ליפשיץ
תפ_40168-09-16.docx,רפי כרמל
תפ_41280-09-16.docx,דנה מרשק מרום
תפ_46497-09-16.docx,אבי לוי
תפ_57353-09-16.docx,אליהו ביתן
תפ_61392-09-16.docx,אהרון משניות
תפ_61690-09-16.docx,אליהו ביתן
תפ_332-10-16.docx,דנה מרשק מרום
תפ_376-10-16.docx,דנה מרשק מרום
תפ_12469-10-16.docx,יחיאל ליפשיץ
תפ_17316-10-16.docx,רפי כרמל
תפ_20487-10-16.docx,אלכסנדר רון
תפ_22080-10-16.docx,עמי קובו
תפ_7970-11-16.docx,בני שגיא
תפ_191230-15.docx,מיכל ברנט
תפ_60349-11-16.docx,מרדכי לוי
תפ_63255-11-16.docx,ציון קאפח
תפ_701-12-16.docx,אבי לוי
תפ_6008-12-16.docx,יואל עדן
תפ_11789-12-16.docx,חגית מאק-קלמנוביץ
תפ_19902-12-16.docx,עמי קובו
תפ_32002-12-16.docx,אליהו ביתן
תפ_620-01-17.docx,דנה מרשק מרום
תפ_15787-01-17.docx,עמי קובו
תפ_44181-01-17.docx,רונית בש
תפ_47714-01-17.docx,אברהם אליקים
תפ_49232-01-17.docx,מרדכי לוי
תפ_59804-01-17.docx,אבי לוי
תפ_59971-01-17.docx,כמאל סעב
תפ_22611-02-17.docx,ציון קאפח
תפ_54648-02-17.docx,עמי קובו
תפ_31015-09-17.docx,אבי לוי
תפ_31103-09-17.docx,כמאל סעב
תפ_12125-10-17.docx,אבי לוי
תפ_58812-10-17.docx,תמר שרון נתנאל
תפ_4435-11-17.docx,דנה מרשק מרום
תפ_37176-11-17.docx,מיכל ברק נבו
תפ_48338-11-17.docx,אליהו ביתן
תפ_55925-11-17.docx,יצחק כהן
תפ_1418-12-17.docx,ציון קאפח
תפ_22830-12-17.docx,יחיאל ליפשיץ
תפ_11969-01-18.docx,רבקה פרידמן-פלדמן
תפ_22537-01-18.docx,עמי קובו
תפ_27955-01-18.docx,יחיאל ליפשיץ
תפ_35484-01-18.docx,אמיר טובי
תפ_42761-01-18.docx,עמי קובו
תפ_45117-01-18.docx,יחיאל ליפשיץ
תפ_58966-01-18.docx,דנה מרשק מרום
תפ_73652-01-18.docx,בני שגיא
תפ_4415-02-18.docx,דנה מרשק מרום
תפ_5775-02-18.docx,אליהו ביתן
תפ_26019-02-18.docx,מרדכי לוי
תפ_47757-02-18.docx,אמיר טובי
תפ_58507-02-18.docx,יחיאל ליפשיץ
תפ_2679-03-18.docx,עמי קובו
תפ_12699-03-18.docx,אבי לוי
תפ_12834-03-18.docx,דניאל בן טולילה
תפ_13236-03-18.docx,דניאל פיש
תפ_20044-03-18.docx,אמיר טובי
תפ_67527-03-18.docx,עמי קובו
תפ_4460-04-18.docx,עמי קובו
תפ_16826-04-18.docx,עמי קובו
תפ_27771-04-18.docx,אליהו ביתן
תפ_34938-09-18.docx,רונית בש
תפ_4760-10-18.docx,בני שגיא
תפ_9532-10-18.docx,דניאל בן טולילה
תפ_33446-10-18.docx,דנה מרשק מרום
תפ_34117-10-18.docx,דניאל בן טולילה
תפ_39573-10-18.docx,דניאל פיש
תפ_47466-10-18.docx,בני שגיא
תפ_4886-11-18.docx,אבי לוי
תפ_25458-11-18.docx,עמי קובו
תפ_39299-11-18.docx,יוסי טופף
תפ_11220-12-18.docx,ציון קאפח
תפ_38574-12-18.docx,חנה מרים לומפ
תפ_67865-12-18.docx,אליהו ביתן
תפ_30756-01-19.docx,אליהו ביתן
תפ_33728-01-19.docx,עמי קובו
תפ_68942-01-19.docx,עמי קובו
תפ_68958-01-19.docx,עמי קובו
תפ_76133-01-19.docx,עמי קובו
תפ_30408-02-19.docx,בני שגיא
תפ_30538-02-19.docx,בני שגיא
תפ_35274-02-19.docx,בני שגיא
תפ_37958-02-19.docx,אברהם רובין
תפ_45480-02-19.docx,עמי קובו
תפ_49034-02-19.docx,עמית גורפינקל
תפ_60154-02-19.docx,עמי קובו
תפ_67193-02-19.docx,עמי קובו
תפ_14488-04-19.docx,עמי קובו
תפ_14578-04-19.docx,עמי קובו
תפ_4039-05-19.docx,שחר זוהר
תפ_13159-05-19.docx,אליהו ביתן
תפ_43983-05-19.docx,בני שגיא
תפ_48706-05-19.docx,אליהו ביתן
תפ_9460-10-19.docx,עמי קובו
תפ_21162-10-19.docx,חגית מאק-קלמנוביץ
תפ_40327-10-19.docx,רבקה פרידמן-פלדמן
תפ_2211-11-19.docx,רבקה פרידמן-פלדמן
תפ_15251-11-19.docx,בני שגיא
תפ_40898-11-19.docx,חנה מרים לומפ
תפ_43394-11-19.docx,חגי טרסי
תפ_54137-11-19.docx,דנה כהן-לקח
תפ_57066-11-19.docx,רבקה פוקס
תפ_58505-11-19.docx,חגית מאק-קלמנוביץ
תפ_58524-11-19.docx,רבקה פרידמן-פלדמן
תפ_19469-12-19.docx,רם וינוגרד
תפ_33185-12-19.docx,אליהו ביתן
תפ_39884-12-19.docx,אברהים בולוס
תפ_74036-12-19.docx,רונית בש
תפ_802-01-20.docx,רונית בש
תפ_37495-01-20.docx,בני שגיא
תפ_42231-01-20.docx,חגי טרסי
תפ_52785-01-20.docx,חגית מאק-קלמנוביץ
תפ_62688-01-20.docx,תמר שרון נתנאל
תפ_65264-01-20.docx,דניאל פיש
תפ_33541-02-20.docx,אברהם רובין
תפ_36724-02-20.docx,יצחק כהן
תפ_7408-03-20.docx,מרב גרינברג
תפ_14935-03-20.docx,עמי קובו
תפ_32815-03-20.docx,אברהים בולוס
תפ_37454-03-20.docx,בני שגיא
תפ_37474-03-20.docx,עמי קובו
תפ_45012-03-20.docx,בני שגיא
תפ_7626-04-20.docx,דניאל פיש
תפ_21991-04-20.docx,בני שגיא
תפ_24431-04-20.docx,דנה כהן-לקח
תפ_38069-12-20.docx,יוסי טורס
תפ_39880-12-20.docx,דרור קלייטמן
תפ_43226-12-20.docx,גיא אבנון
תפ_43456-12-20.docx,שאול אבינור
תפ_52963-12-20.docx,אבישי כהן
תפ_57130-12-20.docx,דוד שאול גבאי ריכטר
תפ_59045-12-20.docx,דוד שאול גבאי ריכטר
תפ_62983-12-20.docx,זהר דולב להמן
תפ_63029-12-20.docx,ענת חולתא
תפ_70876-12-20.docx,ענת חולתא
תפ_2444-01-21.docx,עמית מיכלס
תפ_9705-01-21.docx,עדי יעקובוביץ
תפ_9758-01-21.docx,סיגל אלבו
תפ_11879-01-21.docx,שרון ריבלין-אחאי
תפ_12167-01-21.docx,דוד שאול גבאי ריכטר
תפ_16441-01-21.docx,ג'ויה סקפה שפירא
תפ_16541-01-21.docx,ענת חולתא
תפ_23798-01-21.docx,שירלי דקל נוה
תפ_29520-01-21.docx,סימי פלג קימלוב
תפ_32494-01-21.docx,ענת חולתא
תפ_33146-01-21.docx,דוד שאול גבאי ריכטר
תפ_33495-01-21.docx,ענת חולתא
תפ_41801-01-21.docx,שמואל הרבסט
תפ_43525-01-21.docx,ארנון איתן
